task_id,condition_id,plate_id,yield,n,experiment_id
hit_02,c_d71bc0fdfd,screen_SCRN_68,72.5,4,hit_000085
hit_02,c_d8023cb0fa,screen_SCRN_68,64.25,4,hit_000086
hit_02,c_d8c161e683,screen_SCRN_68,49.0,4,hit_000087
hit_02,c_e2b4f2be96,screen_SCRN_68,75.0,4,hit_000088
hit_02,c_e34fd39dff,screen_SCRN_68,36.5,4,hit_000089
hit_02,c_e564d7612a,screen_SCRN_68,91.75,4,hit_000090
hit_02,c_e7bd21231d,screen_SCRN_68,79.5,4,hit_000091
hit_02,c_e8d46c9e9a,screen_SCRN_68,78.25,4,hit_000092
hit_02,c_ebf384b84e,screen_SCRN_68,15.25,4,hit_000093
hit_02,c_ef091d2ff2,screen_SCRN_68,71.25,4,hit_000094
hit_02,c_efdcec6f77,screen_SCRN_68,69.25,4,hit_000095
hit_03,c_04d73ea970,screen_SCRN_57,53.5,4,hit_000096
hit_03,c_14f5c30068,screen_SCRN_57,39.0,4,hit_000097
hit_03,c_1d9e641278,screen_SCRN_57,73.75,4,hit_000098
hit_03,c_1f622dc39d,screen_SCRN_57,44.75,4,hit_000099
hit_03,c_23c32c1777,screen_SCRN_57,38.75,4,hit_000100
hit_03,c_24a01a5b7d,screen_SCRN_57,78.5,4,hit_000101
hit_03,c_26f340984c,screen_SCRN_57,31.25,4,hit_000102
hit_03,c_2db771aad0,screen_SCRN_57,38.25,4,hit_000103
hit_03,c_30116215bd,screen_SCRN_57,79.0,4,hit_000104
hit_03,c_3196604cd9,screen_SCRN_57,29.75,4,hit_000105
hit_03,c_32f061b282,screen_SCRN_57,49.25,4,hit_000106
hit_03,c_3c160df052,screen_SCRN_57,40.0,4,hit_000107
hit_03,c_3ee2d5105a,screen_SCRN_57,35.75,4,hit_000108
hit_03,c_3f90fc71ff,screen_SCRN_57,52.0,4,hit_000109
hit_03,c_40534c4f12,screen_SCRN_57,41.0,4,hit_000110
hit_03,c_4076342b87,screen_SCRN_57,42.25,4,hit_000111
hit_03,c_4648614000,screen_SCRN_57,35.5,4,hit_000112
hit_03,c_4957928872,screen_SCRN_57,32.5,4,hit_000113
hit_03,c_4fdc95dfd7,screen_SCRN_57,37.25,4,hit_000114
hit_03,c_5570c5f42c,screen_SCRN_57,27.25,4,hit_000115
hit_03,c_577ff4ada9,screen_SCRN_57,37.75,4,hit_000116
hit_03,c_599a93c125,screen_SCRN_57,37.5,4,hit_000117
hit_03,c_5e8279fbea,screen_SCRN_57,29.0,4,hit_000118
hit_03,c_7dc2ed3bef,screen_SCRN_57,67.75,4,hit_000119
hit_03,c_86f3e84f01,screen_SCRN_57,52.5,4,hit_000120
hit_03,c_87611e347b,screen_SCRN_57,40.0,4,hit_000121
hit_03,c_87d08dc489,screen_SCRN_57,75.5,4,hit_000122
hit_03,c_96da66f8fe,screen_SCRN_57,47.25,4,hit_000123
hit_03,c_9e3adb389c,screen_SCRN_57,44.25,4,hit_000124
hit_03,c_a86e283b14,screen_SCRN_57,27.5,4,hit_000125
hit_03,c_a88c92ca46,screen_SCRN_57,35.0,4,hit_000126
hit_03,c_aabcb49fef,screen_SCRN_57,31.25,4,hit_000127
hit_03,c_ad8305297d,screen_SCRN_57,26.5,4,hit_000128
hit_03,c_adf3bba061,screen_SCRN_57,46.5,4,hit_000129
hit_03,c_b4e663cbcf,screen_SCRN_57,77.5,4,hit_000130
hit_03,c_b6552437bf,screen_SCRN_57,37.0,4,hit_000131
hit_03,c_b9c1c9f68d,screen_SCRN_57,43.25,4,hit_000132
hit_03,c_ba67a9e214,screen_SCRN_57,31.25,4,hit_000133
hit_03,c_c3b27856cb,screen_SCRN_57,30.25,4,hit_000134
hit_03,c_c4be4d3b3e,screen_SCRN_57,71.0,4,hit_000135
hit_03,c_dd752d0e98,screen_SCRN_57,73.75,4,hit_000136
hit_03,c_e03a6b9172,screen_SCRN_57,36.5,4,hit_000137
hit_03,c_e34fd39dff,screen_SCRN_57,75.25,4,hit_000138
hit_03,c_e564d7612a,screen_SCRN_57,52.0,4,hit_000139
hit_03,c_e7bd21231d,screen_SCRN_57,78.25,4,hit_000140
hit_03,c_e8d46c9e9a,screen_SCRN_57,67.75,4,hit_000141
hit_03,c_efdcec6f77,screen_SCRN_57,40.75,4,hit_000142
hit_03,c_fb0fd7c858,screen_SCRN_57,42.5,4,hit_000143
hit_04,c_04d73ea970,screen_SCRN_131,29.0,4,hit_000144
hit_04,c_14f5c30068,screen_SCRN_131,28.666666666666668,3,hit_000145
hit_04,c_1d9e641278,screen_SCRN_131,11.0,4,hit_000146
hit_04,c_1f622dc39d,screen_SCRN_131,28.0,4,hit_000147
hit_04,c_23c32c1777,screen_SCRN_131,14.75,4,hit_000148
hit_04,c_24a01a5b7d,screen_SCRN_131,14.0,4,hit_000149
hit_04,c_26f340984c,screen_SCRN_131,6.5,4,hit_000150
hit_04,c_2db771aad0,screen_SCRN_131,33.5,4,hit_000151
hit_04,c_30116215bd,screen_SCRN_131,6.0,4,hit_000152
hit_04,c_3196604cd9,screen_SCRN_131,38.25,4,hit_000153
hit_04,c_32f061b282,screen_SCRN_131,17.0,4,hit_000154
hit_04,c_3c160df052,screen_SCRN_131,10.5,4,hit_000155
hit_04,c_3ee2d5105a,screen_SCRN_131,43.5,4,hit_000156
hit_04,c_3f90fc71ff,screen_SCRN_131,17.5,4,hit_000157
hit_04,c_40534c4f12,screen_SCRN_131,20.0,4,hit_000158
hit_04,c_4076342b87,screen_SCRN_131,29.0,4,hit_000159
hit_04,c_435b3fc2a1,screen_SCRN_131,12.75,4,hit_000160
hit_04,c_493aa05fab,screen_SCRN_131,9.5,4,hit_000161
hit_04,c_4fdc95dfd7,screen_SCRN_131,55.333333333333336,3,hit_000162
hit_04,c_5570c5f42c,screen_SCRN_131,12.0,4,hit_000163
hit_04,c_577ff4ada9,screen_SCRN_131,49.75,4,hit_000164
hit_04,c_599a93c125,screen_SCRN_131,9.25,4,hit_000165
hit_04,c_5e8279fbea,screen_SCRN_131,26.5,4,hit_000166
hit_04,c_86f3e84f01,screen_SCRN_131,35.0,4,hit_000167
hit_04,c_87d08dc489,screen_SCRN_131,15.25,4,hit_000168
hit_04,c_96da66f8fe,screen_SCRN_131,13.25,4,hit_000169
hit_04,c_99aeac08ec,screen_SCRN_131,7.0,4,hit_000170
hit_04,c_9e3adb389c,screen_SCRN_131,9.75,4,hit_000171
hit_04,c_a32f6953e7,screen_SCRN_131,39.0,4,hit_000172
hit_04,c_a86e283b14,screen_SCRN_131,28.25,4,hit_000173
hit_04,c_ad8305297d,screen_SCRN_131,15.25,4,hit_000174
hit_04,c_adf3bba061,screen_SCRN_131,20.0,4,hit_000175
hit_04,c_aea74536ed,screen_SCRN_131,6.75,4,hit_000176
hit_04,c_b4e663cbcf,screen_SCRN_131,16.0,4,hit_000177
hit_04,c_b6552437bf,screen_SCRN_131,9.25,4,hit_000178
hit_04,c_b9c1c9f68d,screen_SCRN_131,7.5,4,hit_000179
hit_04,c_ba1fa7db09,screen_SCRN_131,10.5,4,hit_000180
hit_04,c_c3b27856cb,screen_SCRN_131,6.75,4,hit_000181
hit_04,c_c4be4d3b3e,screen_SCRN_131,5.25,4,hit_000182
hit_04,c_dd752d0e98,screen_SCRN_131,10.5,4,hit_000183
hit_04,c_e03a6b9172,screen_SCRN_131,60.0,3,hit_000184
hit_04,c_e564d7612a,screen_SCRN_131,25.5,4,hit_000185
hit_04,c_e7bd21231d,screen_SCRN_131,9.25,4,hit_000186
hit_04,c_e8d46c9e9a,screen_SCRN_131,23.25,4,hit_000187
hit_04,c_efdcec6f77,screen_SCRN_131,36.25,4,hit_000188
hit_04,c_f25873d76b,screen_SCRN_131,38.25,4,hit_000189
hit_04,c_f7824c77b7,screen_SCRN_131,7.5,4,hit_000190
hit_04,c_fb0fd7c858,screen_SCRN_131,33.25,4,hit_000191
hit_05,c_04d73ea970,screen_SCRN_78,34.0,4,hit_000192
hit_05,c_14f5c30068,screen_SCRN_78,23.0,4,hit_000193
hit_05,c_1d9e641278,screen_SCRN_78,13.75,4,hit_000194
hit_05,c_1f622dc39d,screen_SCRN_78,33.75,4,hit_000195
hit_05,c_23c32c1777,screen_SCRN_78,12.0,4,hit_000196
hit_05,c_24a01a5b7d,screen_SCRN_78,15.5,4,hit_000197
hit_05,c_2db771aad0,screen_SCRN_78,37.75,4,hit_000198
hit_05,c_30116215bd,screen_SCRN_78,18.75,4,hit_000199
hit_05,c_3196604cd9,screen_SCRN_78,30.25,4,hit_000200
hit_05,c_32f061b282,screen_SCRN_78,9.5,4,hit_000201
hit_05,c_3c160df052,screen_SCRN_78,17.75,4,hit_000202
hit_05,c_3ee2d5105a,screen_SCRN_78,29.25,4,hit_000203
hit_05,c_3f90fc71ff,screen_SCRN_78,13.0,4,hit_000204
hit_05,c_40534c4f12,screen_SCRN_78,12.75,4,hit_000205
hit_05,c_4076342b87,screen_SCRN_78,20.5,4,hit_000206
hit_05,c_4648614000,screen_SCRN_78,21.25,4,hit_000207
hit_05,c_493aa05fab,screen_SCRN_78,21.25,4,hit_000208
hit_05,c_4957928872,screen_SCRN_78,31.25,4,hit_000209
hit_05,c_4fdc95dfd7,screen_SCRN_78,41.25,4,hit_000210
hit_05,c_577ff4ada9,screen_SCRN_78,20.0,4,hit_000211
hit_05,c_599a93c125,screen_SCRN_78,9.75,4,hit_000212
